id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40557180,Rental unit in Edinburgh · ★4.92 · 2 bedrooms · 4 beds · 1 bath,246589182,Mark,,Deans Village,55.95242,-3.21529,Entire home/apt,249,2,48,2023-06-12,1.93,1,14,30,
40560355,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 private bath,314230082,Tom,,Stockbridge,55.9583,-3.20909,Private room,100,3,12,2022-07-25,0.29,1,0,5,
40565433,Condo in Edinburgh · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,87209396,Jorden,,Marchmont East and Sciennes,55.9392,-3.18392,Entire home/apt,87,1,36,2023-05-19,7.20,2,0,36,
40176626,Rental unit in Edinburgh · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,310217910,Kerry,,Trinity,55.979,-3.20895,Entire home/apt,140,3,4,2020-03-06,0.09,1,0,0,
40577664,Rental unit in Edinburgh · ★4.71 · 2 bedrooms · 3 beds · 2 baths,4048288,Martin,,Tollcross,55.94477,-3.20315,Entire home/apt,165,3,28,2023-06-02,0.66,14,11,18,
40580433,Rental unit in Edinburgh · ★4.50 · 2 bedrooms · 3 beds · 1 bath,37563463,Altido,,Meadows and Southside,55.94217,-3.18073,Entire home/apt,161,3,6,2023-05-20,0.14,155,304,4,
40190090,Rental unit in Edinburgh · 2 bedrooms · 2 beds · 1.5 baths,41507016,Colin,,Easter Road and Hawkhill Avenue,55.96087,-3.16928,Entire home/apt,100,1,0,,,1,1,0,
40192649,Rental unit in Edinburgh · ★4.98 · 2 bedrooms · 2 beds · 2 baths,28089909,Susan,,New Town West,55.95527,-3.19203,Entire home/apt,288,3,122,2023-06-05,2.82,3,26,48,
40582458,Rental unit in Edinburgh · ★4.50 · 2 bedrooms · 4 beds · 1 bath,147563767,Mike,,Deans Village,55.94614,-3.22102,Entire home/apt,179,2,16,2023-03-31,0.38,1,357,9,
40197251,Rental unit in Edinburgh · ★4.37 · 2 bedrooms · 2 beds · 2 baths,37563463,Altido,,Meadows and Southside,55.9427,-3.19087,Entire home/apt,222,2,43,2023-06-01,1.01,155,23,15,
